phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0619.6: Et doulce en fut l’experience,",DC0619: Il n'est que d'estre sur l'herbette,23,S,,G,24,T,Authentic,F,F,Authentic,Authentic,F
"DC0721.6: Et que c'est, je ne diray point,",DC0721: J'ay baisé m'amye à mon aise,17,S,,C,18,T,Authentic,A,None,Phrygian,None,C
"DC0721.5: Pour me contenter, reste un si,",DC0721: J'ay baisé m'amye à mon aise,13,S,,A,14,T,Phrygian,F,C,Authentic,Authentic,C
"DC0721.2: Et tenu nue à ma mercy,",DC0721: J'ay baisé m'amye à mon aise,9,S,,F,10,T,Authentic,C,A,Authentic,Phrygian,C
"DC0721.1: J'ay baisé m'amye à mon aise,",DC0721: J'ay baisé m'amye à mon aise,4,T,"Displaced, Inverted, Evaded",C,5,Ct,Authentic,None,F,None,Authentic,C
DC0720.8: Confesser lors qu'ay à moy trop plus qu'eulx.,DC0720: O qui aura sur mon heur advantage,37,T,"Displaced, Inverted, Evaded",C,40,Ct,CadInCad,C,None,Authentic,None,C
"DC0720.7: Et qu'il me faict leur jalouzie craindre,",DC0720: O qui aura sur mon heur advantage,33,T,"Displaced, Inverted, Evaded",C,33,Ct,Authentic,G,C,Authentic,CadInCad,C
"DC0720.6: En son amour d'un seul traict de ses yeulx,",DC0720: O qui aura sur mon heur advantage,28,S,,G,29,T,Authentic,G,C,CAD NDLT,Authentic,C
"DC0720.5: Perfaicte assez elle est pour deux contraindre,",DC0720: O qui aura sur mon heur advantage,25,S,Displaced,G,26,B,CAD NDLT,C,G,Authentic,Authentic,C
"DC0720.2: O qui pourra en lieu si hault attaindre,",DC0720: O qui aura sur mon heur advantage,11,S,,C,11,T,Authentic,C,G,CadInCad,CAD NDLT,C
"DC0720.1: O qui aura sur mon heur advantage,",DC0720: O qui aura sur mon heur advantage,4,Ct,"Displaced, Inverted",C,5,S,CadInCad,None,C,None,Authentic,C
"DC0617.1: Si le povoir de Diane a esté,",DC0617: Si le pouvoir de Diane a esté,4,S,,G,5,T,Authentic,G,F,Authentic,Authentic,F
DC0424.8: Se paissent fleurs durant la prime vere.,DC0424: Si me voyez face triste et dolente,27,S,,G,29,T,Authentic,G+A,None,Authentic+Authentic,None,G
"DC0424.7: Comme des rays d'un phoebus gratieux,",DC0424: Si me voyez face triste et dolente,21,S,,A,22,T,Authentic,None,G+G,None,Authentic+Authentic,G
"DC0424.6: Le seul soleil, qu'en ce monde revere,",DC0424: Si me voyez face triste et dolente,17,Ct,Displaced,G,18,B,CAD NDLT,C,G,Authentic,Authentic,G
"DC0424.5: Car ma vie est aux rayons de ses yeulx,",DC0424: Si me voyez face triste et dolente,13,S,Evaded,C,14,T,Authentic,G,G+G+G,Authentic,CAD NDLT+Authentic+Authentic,G
"DC0424.2: Un tainct passé ou mort pour dire mieulx,",DC0424: Si me voyez face triste et dolente,8,S,,G,9,T,Authentic,G,C,Authentic,Authentic,G
DC0423.8: Faict qu'en contentement je soye.,DC0423: Si j'ay grand desir de la veoir,26,S,,G,28,T,Authentic,C+C,None,Authentic+Authentic,None,G
"DC0423.6: Et de moy, j'en ay plus grand joye,",DC0423: Si j'ay grand desir de la veoir,17,S,"Evaded, Displaced, Incomplete",C,18,Ct,Authentic,D,G+G,Plagal,Authentic+Authentic,G
"DC0423.2: Elle n'en a pas moins d'envie,",DC0423: Si j'ay grand desir de la veoir,8,S,,G,9,T,Authentic,None,D,None,Plagal,G
DC0422.8: Souffrir ne peult pour apres fin avoir.,DC0422: Le temps vouldroit de soy trop presumer,39,S,,G,40,T,Authentic,D,None,Plagal,None,G
"DC0422.7: Car amytié constante, et bien certaine,",DC0422: Le temps vouldroit de soy trop presumer,33,None,,D,34,None,Plagal,A+A,G,Authentic+Authentic,Authentic,G
"DC0422.6: Qui monstre donc en cela son pouvoir,",DC0422: Le temps vouldroit de soy trop presumer,28,S,,A,30,T,Authentic,D+D,D,Authentic+Authentic,Plagal,G
"DC0422.3: D’entre noz deux il cuidoit consumer,",DC0422: Le temps vouldroit de soy trop presumer,12,S,,D,14,T,CadInCad,G,G,Authentic,Authentic,G
"DC0422.2: Si l’amytié plus cœleste qu’humaine,",DC0422: Le temps vouldroit de soy trop presumer,8,S,,G,9,T,Authentic,D+D,D+D,Authentic+Authentic,CadInCad+Authentic,G
"DC0422.1: Le temps vouldroit de soy trop presumer,",DC0422: Le temps vouldroit de soy trop presumer,3,Ct,"Displaced, Inverted",D,4,S,Authentic,None,G,None,Authentic,G
DC0421.8: Ou je prens plus d'esbatement.,DC0421: Une safrette safrettant,33,S,,G,34,T,Authentic,C+C,None,Authentic+Authentic,None,G
DC0421.6: Et vous la trousse gayement,DC0421: Une safrette safrettant,23,S,,E,24,T,Phrygian,G,C+C,Authentic,Authentic+Authentic,G
"DC0421.2: A qui fretilloit le derriere,",DC0421: Une safrette safrettant,7,S,,G,9,T,Authentic,C+C,C,Authentic+Authentic,Authentic,G
DC0420.8: Voila que c’est de triqueter.,DC0420: Robin vouloit sa femme battre,27,S,,G,28,T,Authentic,G,None,Plagal,None,G
"DC0420.5: Car il frappa trop rudement,",DC0420: Robin vouloit sa femme battre,15,S,,E,16,T,Phrygian,G+G,C+G,Authentic+Authentic,Authentic+Plagal,G
"DC0420.2: Avant que monter à cheval,",DC0420: Robin vouloit sa femme battre,10,S,,G,12,T,Authentic,None,E,None,Phrygian,G
DC0614.5: Car comme moy un chascun le desire,DC0614: Mon ami est en grace si parfaict,15,B,"Inverted, Displaced",G,16,Ct,CAD NDLT,G,D,CAD NDLT,Authentic,C
"DC0614.2: Que d’un chascun à soy le cœur il tire,",DC0614: Mon ami est en grace si parfaict,10,B,"Inverted, Displaced",G,11,Ct,CAD NDLT,C,G,Authentic,CAD NDLT,C
"DC0424.1: Si me voyez face triste, et dolente,",DC0424: Si me voyez face triste et dolente,3,Ct,"Inverted, Incomplete",G,4,T,Authentic,None,G,None,Authentic,G
"DC0422.5: Sur l’inconstant, et ce qui souffre peine,",DC0422: Le temps vouldroit de soy trop presumer,24,Ct,Displaced,D,26,T,Authentic,D,A+A,Authentic,Authentic+Authentic,G
"DC0422.4: Il n’a povoir que sur chose mondaine,",DC0422: Le temps vouldroit de soy trop presumer,17,S,,G,19,T,Authentic,D+D,D,CadInCad+Authentic,Authentic,G
"DC0421.7: Voila dict elle la maniere,",DC0421: Une safrette safrettant,27,T,"Displaced, Evaded, Inverted",C,29,Ct,Authentic,E,G+G,Phrygian,Authentic+Authentic,G
"DC0421.4: De lui rabiller sa croupiere,",DC0421: Une safrette safrettant,14,S,,G,16,T,Authentic,C,E,Authentic,Phrygian,G
"DC0420.7: Mourut quasi subitement,",DC0420: Robin vouloit sa femme battre,20,,,G,21,,Plagal,E+C,G+G,Phrygian+Authentic,Authentic+Authentic,G
DC0419.8: Femme jamais n’est destrapée.,"DC0419: Veoir, deviser et converser",22,S,Displaced,F,25,T,Authentic,C+C,None,Authentic+CAD NDLT,None,F
"DC0419.7: Qui de sa cautelle perverse,","DC0419: Veoir, deviser et converser",20,Ct,Displaced,C,21,B,Authentic,F,F+F,Authentic,Authentic+Authentic,F
"DC0419.6: Tout engluer telle pipée,","DC0419: Veoir, deviser et converser",16,S,Evaded,F,17,T,Authentic,G+G,C+C,Authentic+Authentic,Authentic+CAD NDLT,F
"DC0419.5: Sathan y vient à la traverse,","DC0419: Veoir, deviser et converser",11,S,,G,13,T,Authentic,F+F,F,Authentic+Authentic,Authentic,F
"DC0419.2: Masle, et femelle à fois diverse,","DC0419: Veoir, deviser et converser",7,S,Displaced,F,8,T,Authentic,None,G+G,None,Authentic+Authentic,F
"DC0418.6: Disent partout je l’ay vendu,",DC0418: Si vous l'avez rendez le moy,23,S,"Displaced, Evaded",C,24,Ct,Authentic,F,C,Authentic,Authentic,C
"DC0418.4: Mon petit coeur de franc courage,",DC0418: Si vous l'avez rendez le moy,17,S,,F,19,T,Authentic,F,C+C,Authentic,Authentic+Authentic,C
DC0417.8: Pour passer tout ennuy.,DC0417: Rossignolet qui chante au verd bois,55,None,,C,56,None,Plagal,G+G,C,Authentic+CAD NDLT,Plagal,C
DC0417.7: Cueiller irons la violette,DC0417: Rossignolet qui chante au verd bois,45,S,Displaced,G,47,B,Authentic,C+C,C+C,Authentic+Authentic,Plagal+Plagal,C
"DC0417.6: Car je suis vostre amy,",DC0417: Rossignolet qui chante au verd bois,36,T,"Displaced, Inverted, Incomplete, Evaded",C,38,Ct,Authentic,G+G,G+G,Authentic+Authentic,Authentic+CAD NDLT,C
DC0417.4: Dont tous les jours il m’en ennuye:,DC0417: Rossignolet qui chante au verd bois,24,S,Incomplete,G,26,T,Authentic,C+C,C+C,Authentic+Authentic,Authentic+Authentic,C
"DC0417.3: Je l’ay perduë passé trois moys,",DC0417: Rossignolet qui chante au verd bois,20,S,,C,22,T,Authentic,C+C,G+G,Authentic+Authentic,Authentic+Authentic,C
"DC0417.1: Rossignolet qui chante au verd bois,",DC0417: Rossignolet qui chante au verd bois,6,Ct,Displaced,G,7,B,Authentic,None,C+C,None,Authentic+Authentic,C
DC0416.10: Feis branler le chalict.,DC0416: Passant melancolie,23,S,,C,25,,Authentic,G,None,Plagal,None,C
"DC0416.7: Toute nuë sur son lict,",DC0416: Passant melancolie,15,None,,G,16,None,Plagal,F,C+C,Authentic,Authentic+Authentic,C
"DC0416.2: Un soir apres souper,",DC0416: Passant melancolie,6,S,,F,7,T,Authentic,None,G,None,Plagal,C
DC0418.8: Car par ma foy je l’ay perdu.,DC0418: Si vous l'avez rendez le moy,41,S,,F,42,T,Authentic,F,None,Authentic,None,C
"DC0613.2: Et que me tarde l'heure,","DC0613: Et vray Dieu, qu'il m'ennuye",5,S,,G,6,T,Authentic,D,D,Phrygian,Plagal,D
"DC0613.1: Et vray Dieu qu'il m'ennuye,","DC0613: Et vray Dieu, qu'il m'ennuye",2,B,"Displaced, Inverted",D,3,S,Phrygian,None,G,None,Authentic,D
DC0415.12: Que tu es pour vray trop legier.,DC0415: Amour que tu me fais de mal,42,S,,F,48,T,Authentic,C,None,Authentic,None,F
"DC0415.11: La raison sera pour comment,",DC0415: Amour que tu me fais de mal,37,S,,C,38,T,Authentic,F+F,F,Authentic+Authentic,Authentic,F
"DC0415.10: Qu’en toy ne me failloit fier,",DC0415: Amour que tu me fais de mal,33,S,"Displaced, Incomplete",F,34,Ct,Authentic,F,C,Authentic,Authentic,F
"DC0415.9: Dont j’ay congneu subitement,",DC0415: Amour que tu me fais de mal,29,T,,F,31,None,Authentic,F+F,F+F,CAD NDLT+Authentic,Authentic+Authentic,F
"DC0415.8: Quand au pres j’estois de ta face,",DC0415: Amour que tu me fais de mal,26,Ct,Displaced,F,28,B,CAD NDLT,F,F,CAD NDLT,Authentic,F
"DC0415.7: Mais trop tu faisois du fasché,",DC0415: Amour que tu me fais de mal,22,Ct,Displaced,F,23,B,CAD NDLT,D+A,F+F,Plagal+Phrygian,CAD NDLT+Authentic,F
"DC0415.6: Comme un bon chien faict à la trace,",DC0415: Amour que tu me fais de mal,17,,,D,19,,Plagal,C,F,CAD NDLT,CAD NDLT,F
"DC0415.5: Pour un jour cent fois t’ay cherché,",DC0415: Amour que tu me fais de mal,14,Ct,Displaced,C,15,B,CAD NDLT,F+F,D+A,Authentic+Authentic,Plagal+Phrygian,F
"DC0415.2: Sans me donner quelque allegeance,",DC0415: Amour que tu me fais de mal,10,T,"Inverted, Evaded, Displaced",F,11,Ct,Authentic,None,C,None,CAD NDLT,F
"DC0414.8: Mon sort à luy, et ma fortune,",DC0414: Je voudrois ce gentil clerc estre,18,S,,C,19,T,Authentic,F+F,None,Authentic+CAD NDLT,None,C
"DC0414.6: Ne tend qu’a estre serviteur,",DC0414: Je voudrois ce gentil clerc estre,12,Ct,Displaced,F,13,B,Authentic,F,C,Authentic,Authentic,C
"DC0414.2: Non pas pour grace qu’en luy treuve,",DC0414: Je voudrois ce gentil clerc estre,6,S,,F,7,T,Authentic,C,F+F,Plagal,Authentic+CAD NDLT,C
DC0413.8: Quand on ne peult au surplus satisfaire.,DC0413: D'un amy fainct je ne me puis deffaire,39,S,,F,40,T,Authentic,F,None,Authentic,None,F
"DC0413.7: Ha, que bien peu sert un bon repentir,",DC0413: D'un amy fainct je ne me puis deffaire,35,S,,F,36,T,Authentic,C,F,Authentic,Authentic,F
"DC0413.6: Car ma douleur ne si veulx consentir,",DC0413: D'un amy fainct je ne me puis deffaire,32,S,Displaced,C,33,Ct,Authentic,F+F,F,Authentic+Authentic,Authentic,F
"DC0413.2: Sans ma parole, et honneur assentir,",DC0413: D'un amy fainct je ne me puis deffaire,9,S,,F,11,T,Authentic,C+C,C,CAD NDLT+CAD NDLT,Authentic,F
"DC0413.1: D’un amy fainct je ne me puis deffaire,",DC0413: D'un amy fainct je ne me puis deffaire,4,Ct,Displaced,C,6,None,CAD NDLT,None,F+F,None,Authentic+Authentic,F
DC0707.8: Et pres mon feu es plus froide que glace.,DC0707: Or suis-je bien sur tous le miserable,32,S,,G,34,T,Authentic,D,None,Authentic,None,G
"DC0707.7: Toy au contraire (ha bon Dieu) tu me fuis,",DC0707: Or suis-je bien sur tous le miserable,27,T,"Displaced, Inverted, Evaded",D,28,Ct,Authentic,B-flat,G,CadInCad,Authentic,G
"DC0707.6: Et rien ne quiers, qu'avoir ta bonne grace,",DC0707: Or suis-je bien sur tous le miserable,21,S,,B-flat,22,T,CadInCad,D,D,CadInCad,Authentic,G
"DC0707.5: Car je te cerche, et en tous lieux te suis,",DC0707: Or suis-je bien sur tous le miserable,16,S,,D,18,T,CadInCad,G,B-flat,Authentic,CadInCad,G
"DC0707.2: Que devant toy mercy trouver ne puis,",DC0707: Or suis-je bien sur tous le miserable,11,S,,G,12,T,Authentic,D,D,Authentic,CadInCad,G
